,Actual,Predicted,Difference,ABS Diff
1919,246.047,246.7417833,-0.69,0.69
1922,246.713,246.8061451,-0.09,0.09
1927,245.179,245.2924736,-0.11,0.11
1933,243.988,244.1802996,-0.19,0.19
1954,245.576,246.009439,-0.43,0.43
1957,246.356,246.4900058,-0.13,0.13
1962,247.887,247.1519381,0.74,0.74
1972,246.994,245.6633364,1.33,1.33
1976,245.019,244.6093501,0.41,0.41
1978,243.292,244.2588082,-0.97,0.97
1979,243.718,244.2102792,-0.49,0.49
1982,243.347,243.6599325,-0.31,0.31
1986,244.495,244.1547023,0.34,0.34
1988,244.202,243.8326765,0.37,0.37
1989,244.791,244.5378792,0.25,0.25
1991,243.501,244.4496432,-0.95,0.95
2008,247.103,246.433903,0.67,0.67
2009,247.764,246.4289081,1.34,1.34
2013,247.22,247.1501435,0.07,0.07
2015,247.41,247.3365927,0.07,0.07
2018,247.563,246.6580863,0.90,0.90
2031,237.798,242.1622382,-4.36,4.36
2035,237.542,243.399041,-5.86,5.86
2037,245.059,242.4964659,2.56,2.56
2040,244.705,243.7691524,0.94,0.94
2054,247.317,246.2849591,1.03,1.03
2055,246.956,246.1230841,0.83,0.83
2056,247.388,243.5248353,3.86,3.86
2069,245.398,245.0218349,0.38,0.38
2072,243.361,243.8448087,-0.48,0.48
2078,246.651,244.4238752,2.23,2.23
2088,242.113,243.3704159,-1.26,1.26
2096,244.311,245.0051539,-0.69,0.69
2103,246.423,246.5041425,-0.08,0.08
2112,245.287,246.9138211,-1.63,1.63
2116,246.304,245.4057347,0.90,0.90
2124,241.815,243.9344639,-2.12,2.12
2129,243.324,243.9727496,-0.65,0.65
2132,243.263,244.045669,-0.78,0.78
2135,244.105,243.8649763,0.24,0.24
2142,245.013,244.7867738,0.23,0.23
2144,245.941,244.8096331,1.13,1.13
2146,244.834,245.3625324,-0.53,0.53
2160,247.527,247.0893943,0.44,0.44
2162,248.04,247.09157,0.95,0.95
2165,245.135,244.8568719,0.28,0.28
2168,243.978,244.4737538,-0.50,0.50
2178,243.384,243.7412761,-0.36,0.36
2181,244.498,244.1394242,0.36,0.36
2187,244.132,244.7076251,-0.58,0.58
2196,246.452,245.775504,0.68,0.68
2201,245.97,246.3267225,-0.36,0.36
2207,247.133,246.8764055,0.26,0.26
2209,246.849,247.1498418,-0.30,0.30
2211,247.648,246.5311516,1.12,1.12
2215,245.484,244.5693266,0.91,0.91
2218,243.621,244.6341629,-1.01,1.01
2230,245.175,245.1775222,0.00,0.00
2241,244.772,244.7855893,-0.01,0.01
2245,245.91,245.2347116,0.68,0.68
2246,246.477,245.4034875,1.07,1.07
2247,245.635,245.6966445,-0.06,0.06
2254,246.347,246.6785852,-0.33,0.33
2259,245.953,246.2029096,-0.25,0.25
2268,244.403,244.2068846,0.20,0.20
2271,244.436,244.5279393,-0.09,0.09
2279,243.582,244.4483414,-0.87,0.87
2284,245.621,244.5273421,1.09,1.09
2285,244.707,244.9221652,-0.22,0.22
2300,246.895,246.767035,0.13,0.13
2310,245.282,245.8831982,-0.60,0.60
2311,244.378,245.2163218,-0.84,0.84
2318,244.253,245.1495121,-0.90,0.90
2321,244.351,244.6416387,-0.29,0.29
2326,244.94,245.3076116,-0.37,0.37
2339,247.186,246.4017682,0.78,0.78
2341,246.698,246.5983419,0.10,0.10
2344,246.914,247.4403877,-0.53,0.53
2347,248.966,247.2767771,1.69,1.69
2348,246.951,246.7871778,0.16,0.16
2355,247.026,247.1166421,-0.09,0.09
2361,244.445,245.1851825,-0.74,0.74
2368,244.21,244.5570792,-0.35,0.35
2380,244.79,245.3583857,-0.57,0.57
2387,246.765,246.3431549,0.42,0.42
2389,247.571,246.4932492,1.08,1.08
2395,247.478,246.9804687,0.50,0.50
2399,248.384,246.6786242,1.71,1.71
2402,248.77,247.1710738,1.60,1.60
2407,245.293,245.4677246,-0.17,0.17
2410,245.247,245.0113937,0.24,0.24
2418,245.558,245.0237047,0.53,0.53
2424,245.124,244.4499463,0.67,0.67
2425,244.608,244.720898,-0.11,0.11
2428,243.652,245.1287121,-1.48,1.48
2432,246.42,244.9477822,1.47,1.47
2434,246.19,246.1168678,0.07,0.07
2437,246.231,246.391292,-0.16,0.16
2440,247.49,246.5132996,0.98,0.98
2441,247.569,246.8312589,0.74,0.74
2451,246.768,246.9411033,-0.17,0.17
2452,246.855,246.3681977,0.49,0.49
2456,245.47,244.7671128,0.70,0.70
2463,243.219,244.4978881,-1.28,1.28
2473,245.728,244.3792715,1.35,1.35
2477,245.641,244.8435548,0.80,0.80
2481,245.55,245.1466251,0.40,0.40
2485,247.653,246.3996928,1.25,1.25
